login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
orta,one-sup,2020-07-27T11:14:23Z,0,2,,True,True,mit
orta,live-share,2020-07-23T16:01:28Z,0,2,Shell,True,False,other
orta,bot-docs,2020-07-28T20:17:56Z,0,2,C#,True,True,cc-by-4.0
orta,template,2020-07-04T16:06:31Z,0,2,JavaScript,True,True,
orta,virtual-events,2020-07-20T19:32:34Z,0,2,,True,False,mit
orta,31859,2020-07-14T19:02:11Z,0,3,TypeScript,True,True,
orta,git-scm.com,2020-07-14T02:15:42Z,0,2,Ruby,True,False,mit
orta,typescript-play,2019-06-21T22:55:34Z,22,5,JavaScript,False,False,
orta,lsif-tsc-remark-example,2019-11-01T02:13:24Z,0,3,TypeScript,True,True,mit
orta,svelte-ts-template-example,2020-06-27T16:03:28Z,4,3,JavaScript,True,True,
orta,ts-repros-issues-test,2020-06-30T12:12:11Z,1,3,,True,True,
orta,foam,2020-06-28T10:36:31Z,0,2,CSS,True,True,mit
orta,tmp-static-app,2020-06-26T19:23:15Z,0,3,,True,True,
orta,svelte-vscode-unwrittenfun,2020-06-26T15:13:17Z,0,2,TypeScript,True,False,mit
orta,monaco-typescript,2019-07-18T15:23:12Z,1,2,JavaScript,True,False,mit
orta,autocomplete.js,2020-06-22T14:45:18Z,0,2,TypeScript,True,False,mit
orta,docsearch,2020-05-28T13:32:04Z,0,2,JavaScript,True,False,mit
orta,lazerwalker.github.com,2020-06-03T19:20:05Z,0,2,HTML,True,True,
orta,streampub-1,2020-05-23T12:34:05Z,0,2,JavaScript,True,True,isc
orta,streampub,2020-05-23T12:33:44Z,0,3,,True,True,
orta,deno-ci,2020-05-22T12:33:35Z,3,3,TypeScript,True,True,
orta,deno_test,2020-05-20T01:10:45Z,0,3,TypeScript,True,True,
orta,setup-deno,2020-05-20T01:13:29Z,0,2,TypeScript,True,True,mit
orta,tsc-exclude-types-repro,2020-05-13T16:04:34Z,0,2,JavaScript,True,True,
orta,tslint,2017-02-07T19:29:40Z,0,3,TypeScript,True,False,apache-2.0
orta,rome,2020-05-11T19:35:11Z,0,2,TypeScript,True,False,mit
orta,typescript-stickers,2019-09-10T19:32:24Z,40,3,,True,True,cc-by-4.0
orta,create-snowpack-app,2020-05-05T19:31:56Z,0,2,JavaScript,True,True,other
TypeStrong,typescript-compiler-docs,2020-04-26T19:45:47Z,9,18,,True,True,
orta,lua-types,2020-04-27T21:54:38Z,0,2,,True,True,mit
orta,TypeScriptToLua.github.io,2020-04-27T21:14:43Z,0,2,TypeScript,True,True,
orta,ts2php,2020-04-26T22:49:55Z,0,2,TypeScript,True,True,mit
orta,ts-playground-plugin-github-explorer,2020-04-17T12:44:52Z,1,2,HTML,True,True,
orta,typescript-playground-plugin-symbols,2020-04-17T12:14:05Z,1,2,TypeScript,True,True,mit
